"","playerID","yearID","stint","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"141","cardejo02",1980,1,"NYN","NL",26,42,4,7,1,0,0,4,0,1,6,4,"0","0","0","1","3"
"142","cardejo02",1980,2,"KCA","AL",25,53,8,18,2,0,0,5,0,0,5,5,"0","0","0","3","0"
"143","carewro01",1980,1,"CAL","AL",144,540,74,179,34,7,3,59,23,15,59,38,"7","1","9","3","15"
"144","carltst01",1980,1,"PHI","NL",38,101,7,19,1,0,0,6,0,0,1,21,"0","0","6","3","4"
"145","cartega01",1980,1,"MON","NL",154,549,76,145,25,5,29,101,3,2,58,78,"11","1","1","8","9"
"146","cashda01",1980,1,"SDN","NL",130,397,25,90,14,2,1,23,6,5,35,21,"5","0","2","3","16"
"147","castibo01",1980,1,"LAN","NL",62,9,0,1,0,0,0,0,0,0,0,4,"0","0","1","0","0"
"148","castijo01",1980,1,"MIN","AL",150,546,67,165,17,7,13,64,7,5,29,67,"1","0","21","3","15"
"149","castima01",1980,1,"KCA","AL",7,10,1,2,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"150","castrbi01",1980,1,"ML4","AL",56,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"151","caudibi01",1980,1,"CHN","NL",72,9,0,2,1,0,0,1,0,0,0,2,"0","0","1","0","1"
"152","cedence01",1980,1,"HOU","NL",137,499,71,154,32,8,10,73,48,15,66,72,"11","1","1","2","13"
"153","ceronri01",1980,1,"NYA","AL",147,519,70,144,30,4,14,85,1,3,32,56,"2","6","8","10","14"
"154","ceyro01",1980,1,"LAN","NL",157,551,81,140,25,0,28,77,2,2,69,92,"5","5","4","1","16"
"155","chalkda01",1980,1,"KCA","AL",69,167,19,42,10,1,1,20,1,1,18,27,"0","2","0","3","5"
"156","chambch01",1980,1,"ATL","NL",158,602,83,170,37,2,18,72,7,3,49,73,"6","4","2","4","11"
"157","chambcr01",1980,1,"KCA","AL",5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"158","chappha01",1980,1,"CHA","AL",26,50,6,8,2,0,0,2,0,2,4,10,"0","1","1","0","0"
"159","charbjo01",1980,1,"CLE","AL",131,453,76,131,17,2,23,87,2,4,49,70,"0","3","1","6","24"
"160","chrisga01",1980,1,"KCA","AL",24,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"161","chrisla01",1980,1,"PHI","NL",14,19,6,7,0,0,1,4,0,0,3,9,"0","0","3","0","0"
"162","clancji01",1980,1,"TOR","AL",34,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"163","clarkbo04",1980,1,"CAL","AL",78,261,26,60,10,1,5,23,0,1,11,42,"0","2","1","0","7"
"164","clarkja01",1980,1,"SFN","NL",127,437,77,124,20,8,22,82,2,5,74,52,"13","2","1","10","12"
"165","clayke01",1980,1,"TEX","AL",8,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"166","clearma01",1980,1,"CAL","AL",58,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"167","clevere01",1980,1,"ML4","AL",45,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"168","clibust01",1980,1,"CAL","AL",54,56,7,10,2,0,2,6,0,0,3,9,"0","0","0","1","1"
"169","collida02",1980,1,"CIN","NL",144,551,94,167,20,4,3,35,79,21,53,68,"2","3","3","3","5"
"170","collido01",1980,1,"CLE","AL",4,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"171","combege01",1980,1,"CIN","NL",4,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"172","comerst01",1980,1,"TEX","AL",12,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"173","conceda01",1980,1,"CIN","NL",156,622,72,162,31,8,5,77,12,2,37,107,"2","1","2","6","20"
"174","conceon01",1980,1,"KCA","AL",12,15,1,2,0,0,0,2,0,0,0,1,"0","0","0","0","1"
"175","contrna01",1980,1,"CHA","AL",8,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"176","coopece01",1980,1,"ML4","AL",153,622,96,219,33,4,25,122,17,6,39,42,"15","2","7","8","16"
"177","coopega01",1980,1,"ATL","NL",21,2,3,0,0,0,0,0,2,1,0,1,"0","0","0","0","0"
"178","corbedo01",1980,1,"MIN","AL",73,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"179","corcoti01",1980,1,"DET","AL",84,153,20,44,7,1,3,18,0,2,22,10,"2","1","0","1","4"
"180","coreyma01",1980,1,"BAL","AL",36,36,7,10,2,0,1,2,0,1,5,7,"0","0","0","0","0"
"181","correvi01",1980,1,"CIN","NL",10,19,1,8,1,0,0,3,0,0,0,2,"0","0","0","0","0"
"182","coseyra01",1980,1,"OAK","AL",9,9,0,1,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"183","cowenal01",1980,1,"CAL","AL",34,119,11,27,5,0,1,17,1,2,12,21,"1","1","0","0","2"
"184","cowenal01",1980,2,"DET","AL",108,403,58,113,15,3,5,42,5,6,37,40,"4","1","7","4","6"
"185","coxje01",1980,1,"OAK","AL",59,169,20,36,3,0,0,9,8,5,14,23,"0","0","11","0","2"
"186","coxla01",1980,1,"SEA","AL",105,243,18,49,6,2,4,20,1,2,19,36,"0","0","9","0","9"
"187","coxte02",1980,1,"SEA","AL",83,247,17,60,9,0,2,23,0,0,19,25,"3","0","1","2","8"
"188","craigro02",1980,1,"SEA","AL",70,240,30,57,15,1,3,20,3,6,17,35,"3","2","5","0","5"
"189","crawfst01",1980,1,"BOS","AL",6,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"190","cromawa01",1980,1,"MON","NL",162,597,74,172,33,5,14,70,8,8,51,64,"24","2","4","3","24"
"191","crowlte01",1980,1,"BAL","AL",92,233,33,67,8,0,12,50,0,0,29,21,"2","0","2","2","8"
"192","cruzhe01",1980,1,"CIN","NL",52,75,5,16,4,1,1,5,0,0,8,16,"1","0","0","0","1"
"193","cruzjo01",1980,1,"HOU","NL",160,612,79,185,29,7,11,91,36,11,60,66,"13","0","0","8","11"
"194","cruzju01",1980,1,"SEA","AL",119,422,66,88,9,3,2,16,45,7,59,49,"0","1","13","2","6"
"195","cruzto02",1980,1,"CAL","AL",18,40,5,11,3,0,1,5,0,0,5,8,"1","0","0","0","0"
"196","cruzto02",1980,2,"CHA","AL",90,293,23,68,11,1,2,18,2,1,9,54,"0","2","6","1","5"
"197","cruzvi01",1980,1,"CLE","AL",55,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"198","cubbami01",1980,1,"MIN","AL",103,285,29,70,9,0,8,42,0,1,23,37,"4","1","6","3","4"
"199","curtijo01",1980,1,"SDN","NL",31,62,2,12,1,0,0,2,0,0,2,31,"0","0","5","0","0"
"200","dacqujo01",1980,1,"SDN","NL",39,8,1,0,0,0,0,0,0,0,1,4,"0","0","2","0","0"
"201","dacqujo01",1980,2,"MON","NL",11,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"202","dadepa01",1980,1,"SDN","NL",68,53,17,10,0,0,0,3,4,5,12,10,"0","0","0","0","2"
"203","darwida01",1980,1,"TEX","AL",53,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"204","dauerri01",1980,1,"BAL","AL",152,557,71,158,32,0,2,63,3,2,46,19,"1","3","6","6","22"
"205","davalvi01",1980,1,"LAN","NL",7,6,1,1,0,0,0,0,0,0,0,1,"0","0","0","0","0"
"206","davisbo02",1980,1,"TOR","AL",91,218,18,47,11,0,4,19,0,0,12,25,"0","1","9","0","9"
"207","davisdi02",1980,1,"ML4","AL",106,365,50,99,26,2,4,30,5,3,11,43,"0","3","0","2","8"
"208","davisma01",1980,1,"PHI","NL",2,2,1,1,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"209","davismi02",1980,1,"OAK","AL",51,95,11,20,2,1,1,8,2,1,7,14,"0","0","4","1","2"
"210","davisod01",1980,1,"TEX","AL",17,8,0,1,0,0,0,0,0,0,0,2,"0","0","0","0","0"
"211","davisro02",1980,1,"NYA","AL",53,1,0,0,0,0,0,0,0,0,0,1,"0","0","0","0","0"
"212","dawsoan01",1980,1,"MON","NL",151,577,96,178,41,7,17,87,34,9,44,69,"7","6","1","10","9"
"213","decindo01",1980,1,"BAL","AL",145,489,64,122,23,2,16,64,11,6,49,83,"5","3","4","4","20"
"214","dejesiv01",1980,1,"CHN","NL",157,618,78,160,26,3,3,33,44,16,60,81,"2","4","8","2","4"
"215","dempsri01",1980,1,"BAL","AL",119,362,51,95,26,3,9,40,3,1,36,45,"1","3","4","1","11"
"216","dennyjo01",1980,1,"CLE","AL",16,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"217","dentbu01",1980,1,"NYA","AL",141,489,57,128,26,2,5,52,0,3,48,37,"1","2","9","5","6"
"218","dernibo01",1980,1,"PHI","NL",10,7,5,4,0,0,0,1,3,0,1,0,"0","0","0","0","0"
"219","desajo01",1980,1,"SLN","NL",7,11,0,3,0,0,0,0,0,0,0,2,"0","0","0","0","1"
"220","dethebo01",1980,1,"KCA","AL",20,26,2,8,2,0,1,7,1,1,1,4,"0","0","0","0","0"
"221","devinad01",1980,1,"TEX","AL",13,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"222","diazbo01",1980,1,"CLE","AL",76,207,15,47,11,2,3,32,1,0,7,27,"3","0","5","2","12"
"223","dillast01",1980,1,"CHN","NL",100,244,31,55,8,1,4,27,2,2,20,54,"2","1","0","2","3"
"224","dilonmi01",1980,1,"CLE","AL",132,528,82,180,30,9,0,40,61,18,28,45,"1","2","6","2","7"
"225","donohto01",1980,1,"CAL","AL",84,218,18,41,4,1,2,14,5,1,7,63,"0","1","3","1","0"
"226","dorseji01",1980,1,"CAL","AL",4,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"227","dotsori01",1980,1,"CHA","AL",36,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"228","downibr01",1980,1,"CAL","AL",30,93,5,27,6,0,2,25,0,2,12,12,"1","0","1","2","5"
"229","doylebr01",1980,1,"NYA","AL",34,75,8,13,1,0,1,5,1,1,6,7,"0","0","0","0","1"
"230","dragodi01",1980,1,"BOS","AL",43,1,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"231","dressro01",1980,1,"SEA","AL",30,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"232","driesda01",1980,1,"CIN","NL",154,524,81,139,36,1,14,74,19,6,93,68,"17","6","0","9","14"
"233","duesha01",1980,1,"MON","NL",6,3,0,0,0,0,0,0,0,0,0,2,"0","0","0","0","0"
"234","durhale01",1980,1,"SLN","NL",96,303,42,82,15,4,8,42,8,5,18,55,"1","1","3","5","3"
"235","dwyerji01",1980,1,"BOS","AL",93,260,41,74,11,1,9,38,3,2,28,23,"5","2","1","1","4"
"236","dybzije01",1980,1,"CLE","AL",114,248,32,57,11,1,1,23,4,1,13,35,"0","2","14","1","5"
"237","dyerdu01",1980,1,"DET","AL",48,108,11,20,1,0,4,11,0,0,13,34,"1","0","5","0","3"
"238","easlemi01",1980,1,"PIT","NL",132,393,66,133,27,3,21,74,5,9,43,65,"6","0","0","9","7"
"239","eastwra01",1980,1,"KCA","AL",14,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"240","eckerde01",1980,1,"BOS","AL",30,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"241","edlerda01",1980,1,"SEA","AL",28,89,11,20,1,0,3,9,2,3,8,16,"1","0","2","0","3"
"242","edwarda01",1980,1,"MIN","AL",81,200,26,50,9,1,2,20,2,1,12,51,"1","1","1","1","6"
"243","edwarmi01",1980,1,"OAK","AL",46,59,10,14,0,0,0,3,1,1,1,5,"0","0","3","0","1"
"244","eicheju01",1980,1,"SDN","NL",15,27,1,3,0,0,0,0,1,0,2,18,"0","0","4","0","0"
"245","elliora01",1980,1,"OAK","AL",14,39,4,5,3,0,0,1,0,0,1,13,"0","0","0","0","1"
"246","ellisjo01",1980,1,"TEX","AL",73,182,12,43,9,1,1,23,3,0,14,23,"1","1","0","3","6"
"247","erickro01",1980,1,"MIN","AL",33,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"248","espinni01",1980,1,"PHI","NL",13,26,4,3,1,0,0,2,0,0,0,9,"0","0","3","0","0"
"249","essiaji01",1980,1,"OAK","AL",87,285,19,66,11,0,5,29,1,3,30,18,"0","0","3","3","14"
"250","evansba01",1980,1,"SDN","NL",73,125,11,29,3,2,1,14,1,1,17,21,"1","0","2","3","2"
"251","evansda01",1980,1,"SFN","NL",154,556,69,147,23,0,20,78,17,5,83,65,"6","2","6","6","12"
"252","evansdw01",1980,1,"BOS","AL",148,463,72,123,37,5,18,60,3,1,64,98,"6","5","6","4","5"
"253","faedole01",1980,1,"MIN","AL",5,8,1,2,1,0,0,0,0,0,0,0,"0","0","1","0","0"
"254","faheybi01",1980,1,"SDN","NL",93,241,18,62,4,0,1,22,2,0,21,16,"6","0","1","2","4"
"255","falcope01",1980,1,"NYN","NL",37,41,2,6,0,0,0,3,0,0,2,12,"0","0","6","0","0"
"256","farmeed01",1980,1,"CHA","AL",64,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"257","feltote01",1980,1,"MIN","AL",5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"258","fergujo01",1980,1,"LAN","NL",77,172,20,41,3,2,9,29,2,2,38,46,"11","0","1","3","8"
"259","ferribo01",1980,1,"CAL","AL",5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"260","fidryma01",1980,1,"DET","AL",10,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
